Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version booster,Booster landing,Date,Time
1,CCSFS,Dragon Spacecraft Qualification Unit,N,LEO,SpaceX,"Success
",F9 v1.0 ,Failure,4 June 2010,18:45
2,CCSFS,SpaceX COTS Demo Flight 1,U,LEO,NASA,Success,F9 v1.0 ,Failure,8 December 2010,15:43
3,CCSFS,SpaceX COTS Demo Flight 2,525 kg,LEO,NASA,Success,F9 v1.0 ,"No attempt
",22 May 2012,07:44
4,CCSFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0 ,No attempt,8 October 2012,00:35
5,CCSFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0 ,"No attempt
",1 March 2013,15:10
6,VSFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1 ,Uncontrolled,29 September 2013,16:00
7,CCSFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,CCSFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,CCSFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,CCSFS,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,CCSFS,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,CCSFS,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1B1011,"No attempt
",7 September 2014,05:00
13,CCSFS,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1B1010,Uncontrolled,21 September 2014,05:52
14,CCSFS,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1B1012,Failure,10 January 2015,09:47
15,CCSFS,DSCOVR,570 kg,,USAF,"Success
",F9 v1.1B1013,Controlled,11 February 2015,23:03
16,CCSFS,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1B1014,No attempt,2 March 2015,03:50
17,CCSFS,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1B1015,Failure,14 April 2015,20:10
18,CCSFS,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1B1016,No attempt,27 April 2015,23:03
19,CCSFS,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1B1018,Precluded,28 June 2015,14:21
20,CCSFS,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FTB1019,Success,22 December 2015,01:29
21,VSFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1B1017,Failure,17 January 2016,18:42
22,CCSFS,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FTB1020,Failure,4 March 2016,23:35
23,CCSFS,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FTB1021.1,Success,8 April 2016,20:43
24,CCSFS,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FTB1022,Success,6 May 2016,05:21
25,CCSFS,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FTB1023.1,Success,27 May 2016,21:39
26,CCSFS,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FTB1024,Failure,15 June 2016,14:29
27,CCSFS,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FTB1025.1,Success,18 July 2016,04:45
28,CCSFS,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FTB1026,Success,14 August 2016,05:26
29,VSFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FTB1029.1,Success,14 January 2017,17:54
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FTB1031.1,Success,19 February 2017,14:39
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FTB1030,No attempt,16 March 2017,06:00
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT♺,Success,30 March 2017,22:27
33,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FTB1032.1,Success,1 May 2017,11:15
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FTB1034.1,No attempt,15 May 2017,23:21
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FTB1035.1,Success,3 June 2017,21:07
